postcode,city,state,source,last_update
1000,kangar,perlis,wikipedia,
2000,kuala perlis,perlis,wikipedia,
2100,padang besar,perlis,wikipedia,
2200,kaki bukit,perlis,wikipedia,
2400,kangar,perlis,wikipedia,
2450,kangar,perlis,wikipedia,
2500,kangar,perlis,wikipedia,
2600,arau,perlis,wikipedia,
2700,simpang ampat,perlis,wikipedia,
2800,simpang ampat,perlis,wikipedia,
5000,alor setar,kedah,wikipedia,
5050,alor setar,kedah,wikipedia,
5100,alor setar,kedah,wikipedia,
5150,alor setar,kedah,wikipedia,
5200,alor setar,kedah,wikipedia,
5250,alor setar,kedah,wikipedia,
5300,alor setar,kedah,wikipedia,
5350,alor setar,kedah,wikipedia,
5400,alor setar,kedah,wikipedia,
5460,alor setar,kedah,wikipedia,
6000,jitra,kedah,wikipedia,
6010,changloon,kedah,wikipedia,
6050,bukit kayu hitam,kedah,wikipedia,
6100,kodiang,kedah,wikipedia,
6150,ayer hitam,kedah,wikipedia,
6200,kepala batas,kedah,wikipedia,
6250,alor setar,kedah,wikipedia,
6300,kuala nerang,kedah,wikipedia,
6350,pokok sena,kedah,wikipedia,
6400,pokok sena,kedah,wikipedia,
6500,langgar,kedah,wikipedia,
6550,alor setar,kedah,wikipedia,
6570,alor setar,kedah,wikipedia,
6600,kuala kedah,kedah,wikipedia,
6650,simpang empat,kedah,wikipedia,
6660,alor setar,kedah,wikipedia,
6700,pendang,kedah,wikipedia,
6710,pendang,kedah,wikipedia,
6720,pendang,kedah,wikipedia,
6750,pendang,kedah,wikipedia,
6800,kota sarang semut,kedah,wikipedia,
6900,yan,kedah,wikipedia,
6910,yan,kedah,wikipedia,
7000,langkawi,kedah,wikipedia,
8000,sungai petani,kedah,wikipedia,
8010,sungai petani,kedah,wikipedia,
8100,bedong,kedah,wikipedia,
8110,bedong,kedah,wikipedia,
8200,sik,kedah,wikipedia,
8210,sik,kedah,wikipedia,
8300,gurun,kedah,wikipedia,
8320,jeniang,kedah,wikipedia,
8330,gurun,kedah,wikipedia,
8340,sik,kedah,wikipedia,
8400,merbok,kedah,wikipedia,
8500,kota kuala muda,kedah,wikipedia,
8600,sungai petani,kedah,wikipedia,
8700,jeniang,kedah,wikipedia,
8800,gurun,kedah,wikipedia,
9000,kulim,kedah,wikipedia,
9010,kulim,kedah,wikipedia,
9020,kulim,kedah,wikipedia,
9100,baling,kedah,wikipedia,
9110,kuala pegang,kedah,wikipedia,
9200,kupang,kedah,wikipedia,
9300,kuala ketil,kedah,wikipedia,
9310,kuala ketil,kedah,wikipedia,
9400,padang serai,kedah,wikipedia,
9410,padang serai,kedah,wikipedia,
9600,lunas,kedah,wikipedia,
9700,karangan,kedah,wikipedia,
9800,serdang,kedah,wikipedia,
9810,serdang,kedah,wikipedia,
14290,bandar baharu,kedah,wikipedia,
14390,bandar baharu,kedah,wikipedia,
34950,bandar baharu,kedah,wikipedia,
10000,george town,penang,wikipedia,09-02-2024
10050,george town,penang,wikipedia,09-02-2024
10100,george town,penang,wikipedia,09-02-2024
10150,george town,penang,wikipedia,09-02-2024
10200,george town,penang,wikipedia,09-02-2024
10250,george town,penang,wikipedia,09-02-2024
10300,george town,penang,wikipedia,09-02-2024
10350,george town,penang,wikipedia,09-02-2024
10400,george town,penang,wikipedia,09-02-2024
10450,george town,penang,wikipedia,09-02-2024
10460,george town,penang,wikipedia,09-02-2024
10470,george town,penang,wikipedia,09-02-2024
11000,balik pulau,penang,wikipedia,
11010,balik pulau,penang,wikipedia,
11020,balik pulau,penang,wikipedia,
11050,pulau pinang,penang,wikipedia,
11060,pulau pinang,penang,wikipedia,
11100,batu feringghi,penang,wikipedia,
11200,tanjong bungah,penang,wikipedia,
11300,penang hill,penang,wikipedia,
11400,pulau pinang,penang,wikipedia,
11500,ayer itam,penang,wikipedia,
11600,jelutong,penang,wikipedia,
11700,gelugor,penang,wikipedia,
11900,bayan lepas,penang,wikipedia,
11910,bayan lepas,penang,wikipedia,
11920,bayan lepas,penang,wikipedia,
11950,bayan lepas,penang,wikipedia,
11960,batu maung,penang,wikipedia,
12000,butterworth,penang,wikipedia,
12100,butterworth,penang,wikipedia,
12200,butterworth,penang,wikipedia,
12300,butterworth,penang,wikipedia,
13000,butterworth,penang,wikipedia,
13020,butterworth,penang,wikipedia,
13050,butterworth,penang,wikipedia,
13100,penaga,penang,wikipedia,
13110,penaga,penang,wikipedia,
13200,kepala batas,penang,wikipedia,
13210,kepala batas,penang,wikipedia,
13220,kepala batas,penang,wikipedia,
13300,tasek gelugor,penang,wikipedia,
13310,tasek gelugor,penang,wikipedia,
13400,butterworth,penang,wikipedia,
13500,permatang pauh,penang,wikipedia,
13600,perai,penang,wikipedia,
13609,perai,penang,wikipedia,
13700,perai,penang,wikipedia,
13800,butterworth,penang,wikipedia,
14000,bukit mertajam,penang,wikipedia,
14020,bukit mertajam,penang,wikipedia,
14100,simpang ampat,penang,wikipedia,
14110,simpang ampat,penang,wikipedia,
14120,simpang ampat,penang,wikipedia,
14200,sungai jawi,penang,wikipedia,
14300,nibong tebal,penang,wikipedia,
14310,nibong tebal,penang,wikipedia,
14320,nibong tebal,penang,wikipedia,
14400,kubang semang,penang,wikipedia,
15000,kota bharu,kelantan,wikipedia,
15050,kota bharu,kelantan,wikipedia,
15100,kota bharu,kelantan,wikipedia,
15150,kota bharu,kelantan,wikipedia,
15200,kota bharu,kelantan,wikipedia,
15300,kota bharu,kelantan,wikipedia,
15350,kota bharu,kelantan,wikipedia,
15400,kota bharu,kelantan,wikipedia,
16010,kota bharu,kelantan,wikipedia,
16020,bachok,kelantan,wikipedia,
16030,bachok,kelantan,wikipedia,
16040,wakaf bharu,kelantan,wikipedia,
16050,bachok,kelantan,wikipedia,
16060,bachok,kelantan,wikipedia,
16070,bachok,kelantan,wikipedia,
16080,tumpat,kelantan,wikipedia,
16090,bachok,kelantan,wikipedia,
16100,kota bharu,kelantan,wikipedia,
16150,kota bharu,kelantan,wikipedia,
16200,tumpat,kelantan,wikipedia,
16210,tumpat,kelantan,wikipedia,
16250,wakaf bharu,kelantan,wikipedia,
16300,bachok,kelantan,wikipedia,
16310,bachok,kelantan,wikipedia,
16320,bachok,kelantan,wikipedia,
16400,melor,kelantan,wikipedia,
16450,ketereh,kelantan,wikipedia,
16500,kem desa pahlawan,kelantan,wikipedia,
16600,pulai chondong,kelantan,wikipedia,
16700,cherang ruku,kelantan,wikipedia,
16800,pasir puteh,kelantan,wikipedia,
16810,selising,kelantan,wikipedia,
17000,pasir mas,kelantan,wikipedia,
17010,pasir mas,kelantan,wikipedia,
17020,pasir mas,kelantan,wikipedia,
17030,pasir mas,kelantan,wikipedia,
17040,pasir mas,kelantan,wikipedia,
17050,pasir mas,kelantan,wikipedia,
17060,pasir mas,kelantan,wikipedia,
17070,pasir mas,kelantan,wikipedia,
17200,rantau panjang,kelantan,wikipedia,
17500,tanah merah,kelantan,wikipedia,
17510,tanah merah,kelantan,wikipedia,
17600,jeli,kelantan,wikipedia,
17610,kuala balah,kelantan,wikipedia,
17700,ayer lanas,kelantan,wikipedia,
18000,kuala krai,kelantan,wikipedia,
18050,kuala krai,kelantan,wikipedia,
18200,dabong,kelantan,wikipedia,
18300,gua musang,kelantan,wikipedia,
18400,temangan,kelantan,wikipedia,
18500,machang,kelantan,wikipedia,
20000,kuala terengganu,terengganu,wikipedia,
20050,kuala terengganu,terengganu,wikipedia,
20100,kuala terengganu,terengganu,wikipedia,
20200,kuala terengganu,terengganu,wikipedia,
20300,kuala terengganu,terengganu,wikipedia,
20400,kuala terengganu,terengganu,wikipedia,
21000,kuala terengganu,terengganu,wikipedia,
21010,kuala terengganu,terengganu,wikipedia,
21020,kuala terengganu,terengganu,wikipedia,
21030,kuala terengganu,terengganu,wikipedia,
21040,kuala terengganu,terengganu,wikipedia,
21060,kuala terengganu,terengganu,wikipedia,
21070,kuala terengganu,terengganu,wikipedia,
21080,kuala terengganu,terengganu,wikipedia,
21090,kuala terengganu,terengganu,wikipedia,
21100,kuala terengganu,terengganu,wikipedia,
21200,kuala terengganu,terengganu,wikipedia,
21210,kuala terengganu,terengganu,wikipedia,
21220,kuala terengganu,terengganu,wikipedia,
21300,kuala terengganu,terengganu,wikipedia,
21400,bukit payong,terengganu,wikipedia,
21450,chalok,terengganu,wikipedia,
21500,sungai tong,terengganu,wikipedia,
21600,marang,terengganu,wikipedia,
21610,marang,terengganu,wikipedia,
21700,kuala berang,terengganu,wikipedia,
21800,ajil,terengganu,wikipedia,
21810,ajil,terengganu,wikipedia,
21820,ajil,terengganu,wikipedia,
22000,jerteh,terengganu,wikipedia,
22010,jerteh,terengganu,wikipedia,
22020,jerteh,terengganu,wikipedia,
22100,permaisuri,terengganu,wikipedia,
22110,permaisuri,terengganu,wikipedia,
22120,permaisuri,terengganu,wikipedia,
22200,kampung raja,terengganu,wikipedia,
22300,kuala besut,terengganu,wikipedia,
23000,dungun,terengganu,wikipedia,
23050,dungun,terengganu,wikipedia,
23100,paka,terengganu,wikipedia,
23200,bukit besi,terengganu,wikipedia,
23300,ketengah jaya,terengganu,wikipedia,
23400,al muktafi billah shah,terengganu,wikipedia,
24000,cukai,terengganu,wikipedia,
24050,ayer puteh,terengganu,wikipedia,
24060,ceneh,terengganu,wikipedia,
24100,kijal,terengganu,wikipedia,
24200,kemasek,terengganu,wikipedia,
24300,kerteh,terengganu,wikipedia,
25000,kuantan,pahang,wikipedia,
